상호명,지번주소
동남집 역삼점,서울 강남구 역삼동 647-6
분식저장소,서울 관악구 신림동 706-2
가우초 곱창 교대점,서울 서초구 서초동 1671-5
태산에프비에스,서울 동작구 신대방동 686-48
육대장 푸줏간 이수역점,서울 동작구 사당동 89-6
한가어죽,서울 동작구 사당동 1007-13
돈맛탱,서울 관악구 신림동 1603-7
비어부르스(사당역점),서울 관악구 남현동 1061-1
혼다라멘,서울 광진구 구의동 246-71
황토방,서울 관악구 봉천동 1597-7
밥한끼,서울 관악구 봉천동 1597-9
선궁,서울 강남구 역삼동 823
포68서울대입구역본점,서울 관악구 봉천동 859-33
엘 살루드,서울 종로구 숭인동 1425
진전복삼계탕 압구정 직영점,서울 강남구 신사동 578-1
이엘포레스트,서울 강남구 역삼동 832-33
샹츠마라 어린이대공원점,서울 광진구 화양동 111-130
매화식당,서울 송파구 삼전동 22-2
(주)봉심컴퍼니,서울 종로구 명륜4가 70-3
훌랄라치킨 행당1동점,서울 성동구 행당동 298-29
호호향,서울 송파구 잠실동 207-17
반기돈,서울 송파구 잠실동 183-12
코끼리 김밥,서울 성동구 하왕십리동 1066
김지영전집,서울 광진구 자양동 621-52
다락,서울 성동구 홍익동 101-6
성수닭꼬치,서울 성동구 성수동2가 269-163
럼프슈가 (Lump Sugar),서울 성동구 용답동 65-6
상하이,서울 성동구 행당동 286-43
김영희 강남동태찜 이수점,서울 서초구 방배동 3001-2
사천마라탕 방배점,서울 서초구 방배동 440-33
뚱이네마라탕,서울 동작구 신대방동 644-7
태영중국요리,서울 동작구 신대방동 693-11
마라영웅 사당점,서울 동작구 사당동 218
잇덴굿 왕십리점,서울 성동구 행당동 192-29
알로하프룻,서울 성동구 하왕십리동 1066
남도 동백김밥 금호점,서울 성동구 금호동1가 167-49
두마리찜닭 두찜 동작노량진점,서울 동작구 노량진동 117-31
두찜 동작상도점,서울 동작구 상도1동 587
두마리찜닭 두찜 (강남세곡점),서울 강남구 자곡동 658
두마리찜닭두찜용산이태원점,서울 용산구 이태원동 341-4
레츠잇치킨,서울 성동구 성수동1가 656-630
소코아 뚝섬점,서울 성동구 성수동1가 656-1015
두찜 광진 구의점,서울 광진구 구의동 222-15
 승리원,서울 성동구 성수동1가 656-435
세븐버거스 어 위크,서울 성동구 성수동1가 656-1036
두마리찜닭 두찜 한양대점,서울 성동구 행당동 39-3
짬뽕위에 더 짬뽕,서울 성동구 성수동1가 668-10
도우또 성수,서울 성동구 성수동1가 668-79
풀리너마이트 성수,서울 성동구 성수동1가 685-414
에디슨바이댄 성수점,서울 성동구 성수동1가 685-431
미미사천마라탕 봉천점,서울 관악구 봉천동 16-46
두찜 서초교대점,서울 서초구 서초동 1637-1
우프,서울 성동구 성수동1가 668-81
명가,서울 성동구 하왕십리동 975-36
두찜 관악신림역점,서울 관악구 신림동 1629-1
광동성,서울 영등포구 신길동 73-15
마라에 반하다,서울 관악구 신림동 1664-28
푸드카페(김밥천국),서울 성동구 성수동1가 656-940
쎄시봉in성수,서울 성동구 성수동1가 656-1069
두찜 서대문홍제점,서울 서대문구 홍은동 36-10
차이훙,서울 영등포구 문래동4가 7-2
연변메밀냉면,서울 영등포구 대림동 1050-1
내고향초두부,서울 영등포구 대림동 804-28
샐러링 성수본점,서울 성동구 성수동2가 314-13
일월수제만두,서울 성동구 성수동2가 564-1
두찜-반포잠원점,서울 서초구 반포동 724-14
두찜 강남대치점,서울 강남구 대치동 935-4
파머스포케 뚝섬역점,서울 성동구 성수동1가 8-33
도쎄멕시칸,서울 성동구 성수동1가 656-3
주식회사 엘더그룹,서울 성동구 성수동1가 668-124
샌드보이,서울 성동구 성수동1가 656-805
이흥부 족발,서울 성동구 성수동1가 13-144
그릭커 성수,서울 성동구 성수동1가 656-417
타이반쩜 신당점,서울 중구 신당동 52-134
몽고 양다리 양갈비,서울 영등포구 대림동 1035-13
포케올데이 성수점,서울 성동구 성수동2가 328-6
에이트,서울 성동구 성수동2가 273-13
청년다방 건대점,서울 광진구 자양동 9-3
인생 차이나 1980,서울 강서구 화곡동 1111-4
소평루,서울 강서구 마곡동 784-4
화룡각,서울 강서구 등촌동 691-1
아토키토,서울 성동구 성수동2가 280-21
밥한민국,서울 강남구 논현동 148-13
한양꽃삼겹&곱창명가,서울 강남구 논현동 148-13
1982 한인타운 냉면&곰탕,서울 강남구 논현동 148-13
남라고항,서울 관악구 봉천동 30-3
마라영웅,서울 강서구 화곡동 1015-27
베이지크,서울 광진구 자양동 54-5
알리타 유기농죽,서울 광진구 자양동 553-438
천미식당,서울 광진구 자양동 829
술이 있는 맛있는밥집,서울 성동구 마장동 335-4
락앤웍,서울 양천구 목동 923-12
금문도,서울 송파구 석촌동 255-4
중국 미식성,서울 송파구 장지동 881-5
한낮의밤,서울 성동구 성수동2가 566-10
신(辛) 마라명가,서울 송파구 문정동 67-9
반스런,서울 성동구 상왕십리동 811
까치산 냉면&김치찌개 본점,서울 강서구 화곡동 347-8
반이학생마라탕마라반,서울 서대문구 창천동 33-46
다복향 마라탕,서울 송파구 송파동 97-53
탕화쿵푸 마라탕,서울 송파구 문정동 644-2
탕라쿵부  마라탕,서울 송파구 마천동 190-35
본능족으로 족발보쌈,서울 광진구 군자동 471-1
백미향,서울 마포구 합정동 371-5
주식회사 오픈팩토리,서울 관악구 봉천동 933-29
미소샌드위치&샐러드,서울 성동구 용답동 57-18
집밥쭈선생,서울 성동구 용답동 50-2
족팔계,서울 성동구 용답동 14-20
쪽선생,서울 성동구 용답동 12-2
산동성 중화요리,서울 양천구 신정동 202-7
웨이웨이 핫도그,서울 양천구 신월동 237-13
마라공방 아현점,서울 서대문구 북아현동 154-6
슬로우레빗,서울 성동구 용답동 70-9
한우공감,서울 성동구 용답동 56-11
지앤지푸드,서울 성동구 하왕십리동 1066
돌매등,서울 성동구 도선동 69
라피드몽,서울 성동구 금호동4가 1305-1
달콤테이블,서울 성동구 옥수동 250-7
소림마라 성동점,서울 성동구 옥수동 450-21
두찜 건대점,서울 광진구 자양동 7-13
공주닭발 용산점,서울 용산구 한강로2가 71
문가네,서울 종로구 창신동 330-59
동대문일품짜장면,서울 종로구 창신동 438-16
찌개랑 고기랑,서울 종로구 창신동 339-1
면을품은오구닭,서울 종로구 창신동 339-1
레인보우포차,서울 중구 을지로6가 18-74
마부마라탕&샹궈,서울 중구 을지로6가 18-71
사이공본가 동대문역사점,서울 중구 을지로6가 18-84
레인보우포차 왕십리,서울 성동구 행당동 292-34
주식회사 금은보화,서울 강남구 역삼동 823
띵호와,서울 용산구 한강로1가 275
딘딘향마라탕&마라샹궈 논현점,서울 강남구 논현동 221-7
천린,서울 강남구 논현동 135-5
마라의신 대치점,서울 강남구 대치동 909-8
마라스타(마라STAR),서울 성동구 사근동 210-19
카츠쇼쿠도우 영등포구청점,서울 영등포구 당산동2가 165
진전복삼계탕 강남구청점,서울 강남구 논현동 243-5
막주고퍼주고,서울 성동구 용답동 54-1
