상호명,지번주소
서박사부대찌개,서울 성동구 금호동2가 510-2
오늘더만족,서울 성동구 금호동3가 811
순희냉면,서울 광진구 자양동 4-7
엄마손키친 (브로스치킨),서울 성동구 행당동 19-54
청년감자탕,서울 성동구 행당동 19-48
하노이별 노량진점,서울 동작구 노량진동 40-43
고기반햄반김치찌개 성동구,서울 성동구 금호동3가 1302
잇샐러드 성수점,서울 성동구 성수동2가 300-8
후후마켓,서울 동작구 대방동 380-122
이고집쭈꾸미,서울 동작구 신대방동 361-57
천국이네,서울 마포구 연남동 567-6
구름계란덮밥,서울 마포구 도화동 536
리김밥 신촌점,서울 마포구 노고산동 57-50
만나칼국수,서울 용산구 청파동2가 35-6
소홍우 마라탕,서울 마포구 서교동 394-14
무침프로젝트,서울 마포구 망원동 411-22
친구친구,서울 성동구 도선동 69
용담애,서울 송파구 거여동 597
죠스떡볶이상암디지털큐브점,서울 마포구 상암동 1647
홍콩반점0410 상암디엠씨점,서울 마포구 상암동 1597
고수찜닭 용산,서울 용산구 청파동3가 24-64
구복만두,서울 용산구 남영동 3-4
치꼬뱅 마포,서울 마포구 망원동 475-46
온샐러드앤포케,서울 마포구 성산동 591-6
장수한방족발,서울 마포구 망원동 486-36
술에빠진노가리,서울 성동구 행당동 298-40
신안동장,서울 마포구 연남동 487-366
고려왕족발.보쌈,서울 마포구 망원동 414-108
포도원삼계탕,서울 마포구 대흥동 250-2
삼대,서울 마포구 망원동 378-6
신림원조김밥,서울 관악구 신림동 1602-1
청년찌개,서울 마포구 성산동 293-2
마부마라탕엔마라샹궈,서울 용산구 후암동 116-27
봉대박파스타앤찜닭,서울 마포구 서교동 486
떡볶이는튀김빨,서울 마포구 공덕동 111-359
전설의등갈비앤김치찜,서울 마포구 서교동 358-95
벨로스테이,서울 마포구 상수동 341-3
최신족발,서울 광진구 화양동 34-3
할매보쌈부대찌개,서울 용산구 원효로2가 91-11
월간미식,서울 용산구 용문동 28-20
호화반점,서울 용산구 원효로2가 27-10
마녀찜닭,서울 용산구 보광동 246-2
창성옥,서울 용산구 용문동 25-16
천하뼈다귀,서울 용산구 보광동 81-1
빙고코다리 아구찜,서울 용산구 보광동 217-16
